institution_id,myjkkn_institution_id,course_code,course_name,coe_course_id,action
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCMC06,CORE-VI-SETTING UP OF BUSINESS ENTITIES,c2b4f6d7-487a-4736-ba99-b4d94882f6c9,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCMC07,CORE-VII-TAXATION,461f59a1-df7a-488d-992d-b1e3876592f8,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCMC08,CORE-VIII-RESEARCH METHODOLOGY,0c6907b1-08ea-4dfe-9437-e1d2f9afd946,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCMC10,CORE-X-INTERNATIONAL BUSINESS,34c1e130-3a37-4df9-9ff9-82816895c753,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCMC11,CORE-XI-CORPORATE AND ECONOMIC LAWS,14b6d1e7-8895-4209-9b69-a1f530a7014c,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCMC12,CORE-XII-HUMAN RESOURCE ANALYTICS,bb1badd2-958a-409c-aaf2-eca57d82f8e1,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCMCP01,CORE-IX-PRACTICAL-COMPUTER APPLICATIONS IN BUSINESS,303beda1-22e1-4aa5-b114-2c9e9b38fbc4,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCME01,ELECTIVE-I-SECURITY ANALYSIS AND PORTFOLIO MANAGEMENT ,f5347bb3-95f7-43c7-82d2-302eb0707222,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCME02,ELECTIVE-I-OPERATIONS RESEARCH,4de23191-1b57-4df8-bee0-e9a1c779a99d,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCME03,ELECTIVE-II-LABOUR LAWS,ecf2461c-77b8-4934-8ca5-4118aa060e83,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCME04,ELECTIVE-II-STRATEGIC HUMAN RESOURCE MANAGEMENT,01a32002-3b4f-407c-b200-23ec471ce8c6,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCME05,ELECTIVE-III-BUSINESS ETHICS AND CORPORATE SUSTAINABILITY,481b72a1-5249-4507-aea6-794d88eb4da3,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCME06,ELECTIVE-III-AUDIT AND DUE DILIGENCE,3bdcdac5-a449-4369-89cb-699646a94a55,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCME07,ELECTIVE-IV-RURAL AND AGRICULTURAL MARKETING,927cdd54-e754-4b25-accf-2b1ff5a92ed6,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCME08,ELECTIVE-IV-LOGISTICS AND SUPPLY CHAIN MANAGEMENT,8895dc2c-f44a-410f-a1eb-e368038a2a37,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCME09,ELECTIVE-V-STRATEGIC MANAGEMENT,814abe99-b446-483a-9969-73c0425c7982,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCME10,ELECTIVE-V-INTERNATIONAL FINANCIAL MANAGEMENT,e9391163-b261-42a3-9b7d-3b5b98faf86e,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCME11,ELECTIVE-VI-ORGANISATIONAL BEHAVIOUR,1be3375d-f82a-49f8-8e8e-fd672a7a905c,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCME12,ELECTIVE-VI-INSOLVENCY LAW AND PRACTICE,2077b5e9-ebb0-4906-9936-f417c1d82c63,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCMED1,EDC-I-BUSINESS ENVIRONMENT,763a02fe-b97f-4784-b78f-8c3a8e83d170,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCMED2,EDC-II-BUSINESS COMMUNICATION,c0d9bfb0-06c1-4e09-92f9-fd7e77cb3be8,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCMIN01,INTERNSHIP/INDUSTRIAL ACTIVITY,0885be2c-713a-47cf-8a2b-f69b0b7192c3,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCMPR1,CORE XIII: PROJECT WITH VIVA-VOCE,e5e08c4e-b2d5-4395-8bd6-7053fbaedb93,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCMSP01,SEC-PRACTICAL-E-FILLING OF GST RETURN,b9faa7ad-a014-4996-8708-153e6c301f8b,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCSC01,CORE-I-ANALYSIS & DESIGN OF ALGORITHMS,4cf738ed-f2ad-47cd-8a78-2fa3d18d1a00,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCSC02,CORE-II-OBJECT ORIENTED PROGRAMMING USING C++,6fa5d329-4e21-4836-a2c7-32221c87c1a2,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCSC03,CORE-III-PYTHON PROGRAMMING,2f0aaf29-709e-4c85-b89c-cb368e5b7a68,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCSC04,CORE-IV- DATA MINING AND WAREHOUSING,b5a5f6a5-2c5a-4318-aed7-42430d9105db,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCSC05,CORE-V-ADVANCED JAVA PROGRAMMING,180f3d85-3a7c-423a-b380-b83e7212ef1e,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCSC06,CORE-VI-DIGITAL IMAGE PROCESSING,68fa43c9-8d7e-4f05-8d8f-aeeb9ce77ca7,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCSC07,CORE-VII-CLOUD COMPUTING,ec3f8a21-c955-4566-96c9-d73bf72c2880,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCSC08,CORE-VIII-NETWORK SECURITY AND CRYPTOGRAPHY,8e03082a-255f-4383-8caf-e130590e4641,create
